interval_id,dimension,c,d,value,frequency,first_n,last_n
PILOT-A,remainder,,,50,1,56,56
PILOT-A,remainder,,,52,1,56,56
PILOT-A,remainder,,,53,2,61,85
PILOT-A,remainder,,,65,3,97,217
PILOT-A,remainder,,,68,1,436,436
PILOT-A,remainder,,,81,3,85,109
PILOT-A,remainder,,,89,4,97,241
PILOT-A,remainder,,,101,1,109,109
PILOT-A,remainder,,,104,1,310,310
PILOT-A,remainder,,,113,2,121,241
PILOT-A,remainder,,,117,1,121,121
PILOT-A,remainder,,,169,1,221,221
PILOT-A,remainder,,,185,2,193,217
PILOT-A,remainder,,,193,2,221,221
PILOT-A,remainder,,,229,1,335,335
PILOT-A,remainder,,,233,1,241,241
PILOT-A,remainder,,,256,1,382,382
PILOT-A,remainder,,,277,1,545,545
PILOT-A,remainder,,,292,1,560,560
PILOT-A,remainder,,,296,2,310,382
PILOT-A,remainder,,,306,1,310,310
PILOT-A,remainder,,,325,1,335,335
PILOT-A,remainder,,,333,1,335,335
PILOT-A,remainder,,,356,1,382,382
PILOT-A,remainder,,,400,1,506,506
PILOT-A,remainder,,,404,1,436,436
PILOT-A,remainder,,,410,1,436,436
PILOT-A,remainder,,,424,1,506,506
PILOT-A,remainder,,,493,1,545,545
PILOT-A,remainder,,,500,1,506,506
PILOT-A,remainder,,,541,2,545,623
PILOT-A,remainder,,,554,1,560,560
PILOT-A,remainder,,,613,1,623,623
PILOT-A,remainder,,,617,2,623,865
PILOT-A,remainder,,,640,1,1370,1370
PILOT-A,remainder,,,794,1,3920,3920
PILOT-A,remainder,,,833,1,865,865
PILOT-A,remainder,,,857,1,865,865
PILOT-A,remainder,,,916,1,1568,1568
PILOT-A,remainder,,,1053,1,1705,1705
PILOT-A,remainder,,,1108,1,3920,3920
PILOT-A,remainder,,,1184,1,1918,1918
PILOT-A,remainder,,,1241,1,1489,1489
PILOT-A,remainder,,,1300,1,1568,1568
PILOT-A,remainder,,,1312,1,2018,2018
PILOT-A,remainder,,,1360,1,1370,1370
PILOT-A,remainder,,,1361,1,1489,1489
PILOT-A,remainder,,,1384,1,2018,2018
PILOT-A,remainder,,,1440,1,1568,1568
PILOT-A,remainder,,,1481,1,1489,1489
PILOT-A,remainder,,,1553,1,1705,1705
PILOT-A,remainder,,,1557,1,1825,1825
PILOT-A,remainder,,,1697,3,1705,1945
PILOT-A,remainder,,,1732,1,3920,3920
PILOT-A,remainder,,,1773,1,1825,1825
PILOT-A,remainder,,,1832,1,1918,1918
PILOT-A,remainder,,,1908,1,1918,1918
PILOT-A,remainder,,,1913,1,1945,1945
PILOT-A,remainder,,,1936,1,2018,2018
PILOT-A,remainder,,,1937,1,1945,1945
PILOT-A,remainder,,,2402,1,3028,3028
PILOT-A,remainder,,,2600,1,6454,6454
PILOT-A,remainder,,,2900,1,3028,3028
PILOT-A,remainder,,,3026,1,3028,3028
PILOT-A,remainder,,,3328,1,6454,6454
PILOT-A,remainder,,,6452,1,6454,6454
PILOT-A,remainder,,,6761,1,9913,9913
PILOT-A,remainder,,,9665,1,9913,9913
PILOT-A,remainder,,,9881,1,9913,9913
PILOT-A,remainder,,,10133,1,13501,13501
PILOT-A,remainder,,,13253,1,13501,13501
PILOT-A,remainder,,,13469,1,13501,13501
PILOT-A,remainder,,,15858,1,33670,33670
PILOT-A,remainder,,,17316,1,33670,33670
PILOT-A,remainder,,,17488,1,76562,76562
PILOT-A,remainder,,,26984,1,33670,33670
PILOT-A,remainder,,,30736,1,108862,108862
PILOT-A,remainder,,,34484,1,50110,50110
PILOT-A,remainder,,,49482,1,50110,50110
PILOT-A,remainder,,,50024,1,50110,50110
PILOT-A,remainder,,,61076,1,64204,64204
PILOT-A,remainder,,,61892,1,64204,64204
PILOT-A,remainder,,,64178,1,64204,64204
PILOT-A,remainder,,,76436,1,76562,76562
PILOT-A,remainder,,,76554,1,76562,76562
PILOT-A,remainder,,,105736,1,108862,108862
PILOT-A,remainder,,,108776,1,108862,108862
PILOT-A,remainder,,,171664,1,188018,188018
PILOT-A,remainder,,,186664,1,188018,188018
PILOT-A,remainder,,,188010,1,188018,188018
PILOT-B,c,0,,0,1,240000005594,240000005594
PILOT-B,c,1,,1,1,240000005594,240000005594
PILOT-B,c,4,,4,2,240000005594,240000005594
PILOT-B,c,6,,6,1,240000005594,240000005594
PILOT-B,c,8,,8,1,240000005594,240000005594
PILOT-B,c,12,,12,1,240000005594,240000005594
PILOT-B,c,14,,14,2,240000005594,240000005594
PILOT-B,c,15,,15,1,240000005594,240000005594
PILOT-B,c,16,,16,2,240000005594,240000005594
PILOT-B,c,18,,18,2,240000005594,240000005594
PILOT-B,c,20,,20,1,240000005594,240000005594
PILOT-B,c,21,,21,1,240000005594,240000005594
PILOT-B,d,,2,2,2,240000005594,240000005594
PILOT-B,d,,4,4,2,240000005594,240000005594
PILOT-B,d,,5,5,3,240000005594,240000005594
PILOT-B,d,,6,6,3,240000005594,240000005594
PILOT-B,d,,10,10,2,240000005594,240000005594
PILOT-B,d,,12,12,1,240000005594,240000005594
PILOT-B,d,,14,14,1,240000005594,240000005594
PILOT-B,d,,15,15,1,240000005594,240000005594
PILOT-B,d,,16,16,1,240000005594,240000005594
PILOT-B,exponent_pair,0,6,"0,6",1,240000005594,240000005594
PILOT-B,exponent_pair,1,15,"1,15",1,240000005594,240000005594
PILOT-B,exponent_pair,4,5,"4,5",1,240000005594,240000005594
PILOT-B,exponent_pair,4,14,"4,14",1,240000005594,240000005594
PILOT-B,exponent_pair,6,4,"6,4",1,240000005594,240000005594
PILOT-B,exponent_pair,8,10,"8,10",1,240000005594,240000005594
PILOT-B,exponent_pair,12,2,"12,2",1,240000005594,240000005594
PILOT-B,exponent_pair,14,10,"14,10",1,240000005594,240000005594
PILOT-B,exponent_pair,14,16,"14,16",1,240000005594,240000005594
PILOT-B,exponent_pair,15,5,"15,5",1,240000005594,240000005594
PILOT-B,exponent_pair,16,2,"16,2",1,240000005594,240000005594
PILOT-B,exponent_pair,16,12,"16,12",1,240000005594,240000005594
PILOT-B,exponent_pair,18,4,"18,4",1,240000005594,240000005594
PILOT-B,exponent_pair,18,6,"18,6",1,240000005594,240000005594
PILOT-B,exponent_pair,20,6,"20,6",1,240000005594,240000005594
PILOT-B,exponent_pair,21,5,"21,5",1,240000005594,240000005594
PILOT-B,remainder,,,87407332000,1,240000005594,240000005594
PILOT-B,remainder,,,209482427466,1,240000005594,240000005594
PILOT-B,remainder,,,229539649266,1,240000005594,240000005594
PILOT-B,remainder,,,233896489888,1,240000005594,240000005594
PILOT-B,remainder,,,236513205568,1,240000005594,240000005594
PILOT-B,remainder,,,239612569480,1,240000005594,240000005594
PILOT-B,remainder,,,239612584480,1,240000005594,240000005594
PILOT-B,remainder,,,239712818248,1,240000005594,240000005594
PILOT-B,remainder,,,239956958848,1,240000005594,240000005594
PILOT-B,remainder,,,239985457000,1,240000005594,240000005594
PILOT-B,remainder,,,239985653562,1,240000005594,240000005594
PILOT-B,remainder,,,239990233408,1,240000005594,240000005594
PILOT-B,remainder,,,239999474128,1,240000005594,240000005594
PILOT-B,remainder,,,239999989968,1,240000005594,240000005594
PILOT-B,remainder,,,240000002388,1,240000005594,240000005594
PILOT-B,remainder,,,240000004240,1,240000005594,240000005594
COMBINED,c,0,,0,32,2,240000005594
COMBINED,c,1,,1,49,4,240000005594
COMBINED,c,2,,2,11,11,2018
COMBINED,c,3,,3,27,29,13501
COMBINED,c,4,,4,13,310,240000005594
COMBINED,c,5,,5,11,436,13501
COMBINED,c,6,,6,8,1370,240000005594
COMBINED,c,7,,7,4,3920,64204
COMBINED,c,8,,8,2,33670,240000005594
COMBINED,c,10,,10,1,76562,76562
COMBINED,c,12,,12,1,240000005594,240000005594
COMBINED,c,14,,14,2,240000005594,240000005594
COMBINED,c,15,,15,1,240000005594,240000005594
COMBINED,c,16,,16,2,240000005594,240000005594
COMBINED,c,18,,18,2,240000005594,240000005594
COMBINED,c,20,,20,1,240000005594,240000005594
COMBINED,c,21,,21,1,240000005594,240000005594
COMBINED,d,,0,0,41,2,6454
COMBINED,d,,1,1,54,6,188018
COMBINED,d,,2,2,21,29,240000005594
COMBINED,d,,3,3,17,193,76562
COMBINED,d,,4,4,11,1370,240000005594
COMBINED,d,,5,5,10,3920,240000005594
COMBINED,d,,6,6,7,33670,240000005594
COMBINED,d,,7,7,1,108862,108862
COMBINED,d,,10,10,2,240000005594,240000005594
COMBINED,d,,12,12,1,240000005594,240000005594
COMBINED,d,,14,14,1,240000005594,240000005594
COMBINED,d,,15,15,1,240000005594,240000005594
COMBINED,d,,16,16,1,240000005594,240000005594
COMBINED,exponent_pair,0,0,"0,0",10,2,6454
COMBINED,exponent_pair,0,1,"0,1",10,6,623
COMBINED,exponent_pair,0,2,"0,2",3,382,64204
COMBINED,exponent_pair,0,3,"0,3",2,382,76562
COMBINED,exponent_pair,0,4,"0,4",1,3028,3028
COMBINED,exponent_pair,0,5,"0,5",3,3920,108862
COMBINED,exponent_pair,0,6,"0,6",2,50110,240000005594
COMBINED,exponent_pair,0,7,"0,7",1,108862,108862
COMBINED,exponent_pair,1,0,"1,0",16,4,545
COMBINED,exponent_pair,1,1,"1,1",20,8,188018
COMBINED,exponent_pair,1,2,"1,2",3,29,221
COMBINED,exponent_pair,1,3,"1,3",7,193,3028
COMBINED,exponent_pair,1,4,"1,4",1,50110,50110
COMBINED,exponent_pair,1,5,"1,5",1,64204,64204
COMBINED,exponent_pair,1,15,"1,15",1,240000005594,240000005594
COMBINED,exponent_pair,2,0,"2,0",7,11,1918
COMBINED,exponent_pair,2,1,"2,1",3,16,310
COMBINED,exponent_pair,2,4,"2,4",1,2018,2018
COMBINED,exponent_pair,3,0,"3,0",3,29,221
COMBINED,exponent_pair,3,1,"3,1",11,49,13501
COMBINED,exponent_pair,3,2,"3,2",6,56,1825
COMBINED,exponent_pair,3,3,"3,3",4,193,1705
COMBINED,exponent_pair,3,4,"3,4",2,1568,1705
COMBINED,exponent_pair,3,5,"3,5",1,9913,9913
COMBINED,exponent_pair,4,0,"4,0",3,506,2018
COMBINED,exponent_pair,4,1,"4,1",4,382,108862
COMBINED,exponent_pair,4,2,"4,2",2,335,506
COMBINED,exponent_pair,4,3,"4,3",1,310,310
COMBINED,exponent_pair,4,4,"4,4",1,2018,2018
COMBINED,exponent_pair,4,5,"4,5",1,240000005594,240000005594
COMBINED,exponent_pair,4,14,"4,14",1,240000005594,240000005594
COMBINED,exponent_pair,5,1,"5,1",5,865,13501
COMBINED,exponent_pair,5,2,"5,2",4,545,1825
COMBINED,exponent_pair,5,3,"5,3",1,436,436
COMBINED,exponent_pair,5,5,"5,5",1,13501,13501
COMBINED,exponent_pair,6,0,"6,0",1,1370,1370
COMBINED,exponent_pair,6,1,"6,1",1,1918,1918
COMBINED,exponent_pair,6,4,"6,4",3,1370,240000005594
COMBINED,exponent_pair,6,5,"6,5",1,6454,6454
COMBINED,exponent_pair,6,6,"6,6",2,33670,188018
COMBINED,exponent_pair,7,0,"7,0",1,3920,3920
COMBINED,exponent_pair,7,3,"7,3",1,64204,64204
COMBINED,exponent_pair,7,4,"7,4",1,3920,3920
COMBINED,exponent_pair,7,6,"7,6",1,33670,33670
COMBINED,exponent_pair,8,3,"8,3",1,33670,33670
COMBINED,exponent_pair,8,10,"8,10",1,240000005594,240000005594
COMBINED,exponent_pair,10,2,"10,2",1,76562,76562
COMBINED,exponent_pair,12,2,"12,2",1,240000005594,240000005594
COMBINED,exponent_pair,14,10,"14,10",1,240000005594,240000005594
COMBINED,exponent_pair,14,16,"14,16",1,240000005594,240000005594
COMBINED,exponent_pair,15,5,"15,5",1,240000005594,240000005594
COMBINED,exponent_pair,16,2,"16,2",1,240000005594,240000005594
COMBINED,exponent_pair,16,12,"16,12",1,240000005594,240000005594
COMBINED,exponent_pair,18,4,"18,4",1,240000005594,240000005594
COMBINED,exponent_pair,18,6,"18,6",1,240000005594,240000005594
COMBINED,exponent_pair,20,6,"20,6",1,240000005594,240000005594
COMBINED,exponent_pair,21,5,"21,5",1,240000005594,240000005594
COMBINED,remainder,,,0,4,2,8
COMBINED,remainder,,,1,7,3,29
COMBINED,remainder,,,2,4,4,16
COMBINED,remainder,,,4,3,6,56
COMBINED,remainder,,,5,4,7,13
COMBINED,remainder,,,8,1,16,16
COMBINED,remainder,,,9,5,11,61
COMBINED,remainder,,,10,2,16,20
COMBINED,remainder,,,13,3,17,23
COMBINED,remainder,,,16,2,20,1370
COMBINED,remainder,,,17,4,21,49
COMBINED,remainder,,,18,1,20,20
COMBINED,remainder,,,25,1,29,29
COMBINED,remainder,,,29,1,61,61
COMBINED,remainder,,,41,2,49,193
COMBINED,remainder,,,45,2,49,97
COMBINED,remainder,,,50,1,56,56
COMBINED,remainder,,,52,1,56,56
COMBINED,remainder,,,53,2,61,85
COMBINED,remainder,,,65,3,97,217
COMBINED,remainder,,,68,1,436,436
COMBINED,remainder,,,81,3,85,109
COMBINED,remainder,,,89,4,97,241
COMBINED,remainder,,,101,1,109,109
COMBINED,remainder,,,104,1,310,310
COMBINED,remainder,,,113,2,121,241
COMBINED,remainder,,,117,1,121,121
COMBINED,remainder,,,169,1,221,221
COMBINED,remainder,,,185,2,193,217
COMBINED,remainder,,,193,2,221,221
COMBINED,remainder,,,229,1,335,335
COMBINED,remainder,,,233,1,241,241
COMBINED,remainder,,,256,1,382,382
COMBINED,remainder,,,277,1,545,545
COMBINED,remainder,,,292,1,560,560
COMBINED,remainder,,,296,2,310,382
COMBINED,remainder,,,306,1,310,310
COMBINED,remainder,,,325,1,335,335
COMBINED,remainder,,,333,1,335,335
COMBINED,remainder,,,356,1,382,382
COMBINED,remainder,,,400,1,506,506
COMBINED,remainder,,,404,1,436,436
COMBINED,remainder,,,410,1,436,436
COMBINED,remainder,,,424,1,506,506
COMBINED,remainder,,,493,1,545,545
COMBINED,remainder,,,500,1,506,506
COMBINED,remainder,,,541,2,545,623
COMBINED,remainder,,,554,1,560,560
COMBINED,remainder,,,613,1,623,623
COMBINED,remainder,,,617,2,623,865
COMBINED,remainder,,,640,1,1370,1370
COMBINED,remainder,,,794,1,3920,3920
COMBINED,remainder,,,833,1,865,865
COMBINED,remainder,,,857,1,865,865
COMBINED,remainder,,,916,1,1568,1568
COMBINED,remainder,,,1053,1,1705,1705
COMBINED,remainder,,,1108,1,3920,3920
COMBINED,remainder,,,1184,1,1918,1918
COMBINED,remainder,,,1241,1,1489,1489
COMBINED,remainder,,,1300,1,1568,1568
COMBINED,remainder,,,1312,1,2018,2018
COMBINED,remainder,,,1360,1,1370,1370
COMBINED,remainder,,,1361,1,1489,1489
COMBINED,remainder,,,1384,1,2018,2018
COMBINED,remainder,,,1440,1,1568,1568
COMBINED,remainder,,,1481,1,1489,1489
COMBINED,remainder,,,1553,1,1705,1705
COMBINED,remainder,,,1557,1,1825,1825
COMBINED,remainder,,,1697,3,1705,1945
COMBINED,remainder,,,1732,1,3920,3920
COMBINED,remainder,,,1773,1,1825,1825
COMBINED,remainder,,,1832,1,1918,1918
COMBINED,remainder,,,1908,1,1918,1918
COMBINED,remainder,,,1913,1,1945,1945
COMBINED,remainder,,,1936,1,2018,2018
COMBINED,remainder,,,1937,1,1945,1945
COMBINED,remainder,,,2402,1,3028,3028
COMBINED,remainder,,,2600,1,6454,6454
COMBINED,remainder,,,2900,1,3028,3028
COMBINED,remainder,,,3026,1,3028,3028
COMBINED,remainder,,,3328,1,6454,6454
COMBINED,remainder,,,6452,1,6454,6454
COMBINED,remainder,,,6761,1,9913,9913
COMBINED,remainder,,,9665,1,9913,9913
COMBINED,remainder,,,9881,1,9913,9913
COMBINED,remainder,,,10133,1,13501,13501
COMBINED,remainder,,,13253,1,13501,13501
COMBINED,remainder,,,13469,1,13501,13501
COMBINED,remainder,,,15858,1,33670,33670
COMBINED,remainder,,,17316,1,33670,33670
COMBINED,remainder,,,17488,1,76562,76562
COMBINED,remainder,,,26984,1,33670,33670
COMBINED,remainder,,,30736,1,108862,108862
COMBINED,remainder,,,34484,1,50110,50110
COMBINED,remainder,,,49482,1,50110,50110
COMBINED,remainder,,,50024,1,50110,50110
COMBINED,remainder,,,61076,1,64204,64204
COMBINED,remainder,,,61892,1,64204,64204
COMBINED,remainder,,,64178,1,64204,64204
COMBINED,remainder,,,76436,1,76562,76562
COMBINED,remainder,,,76554,1,76562,76562
COMBINED,remainder,,,105736,1,108862,108862
COMBINED,remainder,,,108776,1,108862,108862
COMBINED,remainder,,,171664,1,188018,188018
COMBINED,remainder,,,186664,1,188018,188018
COMBINED,remainder,,,188010,1,188018,188018
COMBINED,remainder,,,87407332000,1,240000005594,240000005594
COMBINED,remainder,,,209482427466,1,240000005594,240000005594
COMBINED,remainder,,,229539649266,1,240000005594,240000005594
COMBINED,remainder,,,233896489888,1,240000005594,240000005594
COMBINED,remainder,,,236513205568,1,240000005594,240000005594
COMBINED,remainder,,,239612569480,1,240000005594,240000005594
COMBINED,remainder,,,239612584480,1,240000005594,240000005594
COMBINED,remainder,,,239712818248,1,240000005594,240000005594
COMBINED,remainder,,,239956958848,1,240000005594,240000005594
COMBINED,remainder,,,239985457000,1,240000005594,240000005594
COMBINED,remainder,,,239985653562,1,240000005594,240000005594
COMBINED,remainder,,,239990233408,1,240000005594,240000005594
COMBINED,remainder,,,239999474128,1,240000005594,240000005594
COMBINED,remainder,,,239999989968,1,240000005594,240000005594
COMBINED,remainder,,,240000002388,1,240000005594,240000005594
COMBINED,remainder,,,240000004240,1,240000005594,240000005594
