record_id,source_id,source_artifact,source_artifact_sha256,source_commit,exposure_levels,certainty,boundary_convention,original_low,original_high,normalized_low,normalized_high,inclusive_length,overlap_handling,outcome_influenced_selection,provenance_completeness
I13,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,analysis/p5_sparse_panel_feasibility/results/prior_evaluation_registry.json,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK,CONFIRMED,closed,262000000001,262010000000,262000000001,262010000000,10000000,normalized closed union; overlaps and adjacent intervals merged once,False,COMPLETE
I14,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,analysis/p5_sparse_panel_feasibility/results/prior_evaluation_registry.json,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK,CONFIRMED,closed,264000000001,264010000000,264000000001,264010000000,10000000,normalized closed union; overlaps and adjacent intervals merged once,False,COMPLETE
I15,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,analysis/p5_sparse_panel_feasibility/results/prior_evaluation_registry.json,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK,CONFIRMED,closed,266000000001,266010000000,266000000001,266010000000,10000000,normalized closed union; overlaps and adjacent intervals merged once,False,COMPLETE
I16,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,analysis/p5_sparse_panel_feasibility/results/prior_evaluation_registry.json,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK,CONFIRMED,closed,268000000001,268010000000,268000000001,268010000000,10000000,normalized closed union; overlaps and adjacent intervals merged once,False,COMPLETE
I17,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,analysis/p5_sparse_panel_feasibility/results/prior_evaluation_registry.json,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK,CONFIRMED,closed,270000000001,270100000000,270000000001,270100000000,100000000,normalized closed union; overlaps and adjacent intervals merged once,False,COMPLETE
I18,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,analysis/p5_sparse_panel_feasibility/results/prior_evaluation_registry.json,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK,CONFIRMED,closed,272000000001,272010000000,272000000001,272010000000,10000000,normalized closed union; overlaps and adjacent intervals merged once,False,COMPLETE
I19,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,analysis/p5_sparse_panel_feasibility/results/prior_evaluation_registry.json,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK,CONFIRMED,closed,274000000001,274010000000,274000000001,274010000000,10000000,normalized closed union; overlaps and adjacent intervals merged once,False,COMPLETE
I20,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,analysis/p5_sparse_panel_feasibility/results/prior_evaluation_registry.json,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK,CONFIRMED,closed,276000000001,276010000000,276000000001,276010000000,10000000,normalized closed union; overlaps and adjacent intervals merged once,False,COMPLETE
I21,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,analysis/p5_sparse_panel_feasibility/results/prior_evaluation_registry.json,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK,CONFIRMED,closed,278000000001,278010000000,278000000001,278010000000,10000000,normalized closed union; overlaps and adjacent intervals merged once,False,COMPLETE
I22,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,analysis/p5_sparse_panel_feasibility/results/prior_evaluation_registry.json,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK,CONFIRMED,closed,280000000001,280010000000,280000000001,280010000000,10000000,normalized closed union; overlaps and adjacent intervals merged once,False,COMPLETE
I23,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,analysis/p5_sparse_panel_feasibility/results/prior_evaluation_registry.json,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK,CONFIRMED,closed,282300000001,282410000000,282300000001,282410000000,110000000,normalized closed union; overlaps and adjacent intervals merged once,False,COMPLETE
I24,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,analysis/p5_sparse_panel_feasibility/results/prior_evaluation_registry.json,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK,CONFIRMED,closed,282420000001,282440000000,282420000001,282440000000,20000000,normalized closed union; overlaps and adjacent intervals merged once,False,COMPLETE
I25,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,analysis/p5_sparse_panel_feasibility/results/prior_evaluation_registry.json,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK,CONFIRMED,closed,762930000001,762950000000,762930000001,762950000000,20000000,normalized closed union; overlaps and adjacent intervals merged once,False,COMPLETE
I26,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,analysis/p5_sparse_panel_feasibility/results/prior_evaluation_registry.json,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK,CONFIRMED,closed,1000000000001,1000001000000,1000000000001,1000001000000,1000000,normalized closed union; overlaps and adjacent intervals merged once,False,COMPLETE
I27,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,analysis/p5_sparse_panel_feasibility/results/prior_evaluation_registry.json,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK,CONFIRMED,closed,10000000000001,10000001000000,10000000000001,10000001000000,1000000,normalized closed union; overlaps and adjacent intervals merged once,False,COMPLETE
I28,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,analysis/p5_sparse_panel_feasibility/results/prior_evaluation_registry.json,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK,CONFIRMED,closed,100000000000001,100000001000000,100000000000001,100000001000000,1000000,normalized closed union; overlaps and adjacent intervals merged once,False,COMPLETE
